"State","FIPS","Name","TotalVotes","Obama","Romney"
"GA",13011,"Banks",6191,779,5353
"GA",13009,"Baldwin",16214,8469,7585
"GA",13007,"Baker",1584,790,784
"GA",13005,"Bacon",3929,791,3092
"GA",13003,"Atkinson",2902,930,1938
"GA",13001,"Appling",7079,1756,5231
"FL",12133,"Washington",10998,2820,8037
"FL",12131,"Walton",28480,6665,21483
"FL",12129,"Wakulla",14656,5173,9288
"FL",12127,"Volusia",234483,114716,117473
"FL",12125,"Union",5393,1339,3980
"FL",12123,"Taylor",9117,2761,6249
"FL",12121,"Suwannee",17627,4749,12672
"FL",12119,"Sumter",60471,19519,40644
"FL",12117,"Seminole",208605,96435,109939
"FL",12115,"Sarasota",207434,95089,110489
"FL",12113,"Santa Rosa",76816,17757,58169
"FL",12111,"St. Lucie",123026,65869,56202
"FL",12109,"St. Johns",114733,35155,78490
"FL",12107,"Putnam",31323,11666,19326
"FL",12105,"Polk",248658,114610,131566
"FL",12103,"Pinellas",457484,238966,213192
"FL",12101,"Pasco",213358,98148,112335
"FL",12099,"Palm Beach",600341,349418,247257
"FL",12097,"Osceola",108647,67201,40581
"FL",12095,"Orange",467385,274227,189057
"FL",12093,"Okeechobee",12321,4856,7325
"FL",12091,"Okaloosa",94739,23390,70143
"FL",12089,"Nassau",40523,10249,29926
"FL",12087,"Monroe",39045,19392,19234
"FL",12086,"Miami-Dade",877245,540776,332602
"FL",12085,"Martin",78860,30097,48180
"FL",12083,"Marion",161368,66823,93036
"FL",12081,"Manatee",153451,66476,85616
"FL",12079,"Madison",8712,4174,4474
"FL",12077,"Liberty",3284,942,2301
"FL",12075,"Levy",18396,6118,12052
"FL",12073,"Leon",148335,90863,55806
"FL",12071,"Lee",266034,110080,154112
"FL",12069,"Lake",150796,61790,87637
"FL",12067,"Lafayette",3399,687,2668
"FL",12065,"Jefferson",7808,3945,3808
"FL",12063,"Jackson",20940,7342,13417
"FL",12061,"Indian River",71445,27483,43441
"FL",12059,"Holmes",8274,1264,6919
